code,name,strategy,return,drawdown,trades,sharpe
09988,阿里巴巴-W,DualMA_ADX,8.992958692500608,-6.049531043692243,113,0.6119816961926905
09888,百度集团-SW,DualMA_ADX,5.1300850000000064,-7.875484525657731,101,0.31202262435767386
00981,中芯国际,DualMA_ADX,2.2395429999999994,-2.849015969922126,127,0.3206365445690438
03888,金山软件,DualMA_ADX,1.616619999800295,-1.897420299174032,103,0.35299602918267614
02318,中国平安,DualMA_ADX,0.09180062700000491,-2.3351752242351593,87,0.017133872263791136
01024,快手-W,DualMA_ADX,-5.303419999799708,-11.861265884121616,83,-0.5564715478422426
01810,小米集团-W,DualMA_ADX,-7.514152000000007,-8.630854721295888,107,-1.6764759345424225
01211,比亚迪股份,DualMA_ADX,-8.042402993463549,-10.025975552653854,99,-0.676571314759417
03690,美团-W,DualMA_ADX,-12.779649999999986,-18.724308856672263,95,-0.6151401867906654
00700,腾讯控股,DualMA_ADX,-24.923284999999986,-32.67112621062397,103,-0.5769254937498163
03888,金山软件,Bollinger,-30.633687499995176,-30.63840249999517,1324,-10.034662509058233
01810,小米集团-W,Bollinger,-30.83721749999997,-30.83721749999997,1267,-10.634843557501522
00981,中芯国际,Bollinger,-32.386799000000025,-32.386799000000025,1276,-5.964910205370985
01024,快手-W,Bollinger,-37.73406949979794,-38.258444499797946,1315,-5.781153356372275
02318,中国平安,Bollinger,-39.38694021259672,-39.38694021259672,1290,-11.281035140549815
09988,阿里巴巴-W,Bollinger,-47.219468710098326,-47.48576040617849,1231,-4.409645256893785
01211,比亚迪股份,Bollinger,-47.722812915932266,-47.84881041593226,1324,-5.487751959671745
03690,美团-W,Bollinger,-56.47037749999998,-56.880014954527745,1268,-3.839745391570819
09888,百度集团-SW,Bollinger,-59.594860000000004,-59.7638018317052,1265,-5.693535402340379
00700,腾讯控股,Bollinger,-97.4248450000994,-98.14172239989908,1220,-2.4556335687904474
