code,name,lot_size,stock_type,stock_child_type,stock_owner,option_type,strike_time,strike_price,suspension,listing_date,stock_id,delisting,index_option_type,main_contract,last_trade_time,exchange_type
HK.01128,永利澳门,400,STOCK,N/A,,N/A,,N/A,N/A,2009-10-09,62384399975528,False,N/A,False,,HK_MAINBOARD
HK.01129,中国水业集团,4000,STOCK,N/A,,N/A,,N/A,N/A,2002-01-17,50264002266217,False,N/A,False,,HK_MAINBOARD
HK.01130,中国环境资源,20000,STOCK,N/A,,N/A,,N/A,N/A,1997-06-03,43009802503274,False,N/A,False,,HK_MAINBOARD
HK.01132,橙天嘉禾,5000,STOCK,N/A,,N/A,,N/A,N/A,1994-11-23,39045547689068,False,N/A,False,,HK_MAINBOARD
HK.01133,哈尔滨电气,2000,STOCK,N/A,,N/A,,N/A,N/A,1994-12-16,39144331936877,False,N/A,False,,HK_MAINBOARD
HK.01134,恒发光学,4000,STOCK,N/A,,N/A,,N/A,N/A,2019-07-16,77640123810926,False,N/A,False,,HK_MAINBOARD
HK.01137,香港科技探索,1000,STOCK,N/A,,N/A,,N/A,N/A,1997-08-04,43276090475633,False,N/A,False,,HK_MAINBOARD
HK.01138,中远海能,2000,STOCK,N/A,,N/A,,N/A,N/A,1994-11-11,38994008081522,False,N/A,False,,HK_MAINBOARD
HK.01140,华科智能投资,4000,STOCK,N/A,,N/A,,N/A,N/A,2003-03-20,52097953301620,False,N/A,False,,HK_MAINBOARD
HK.01141,民银资本,1000,STOCK,N/A,,N/A,,N/A,N/A,1998-03-12,44220983280757,False,N/A,False,,HK_MAINBOARD
HK.01142,能源及能量环球,2000,STOCK,N/A,,N/A,,N/A,N/A,2002-11-08,51531017618550,False,N/A,False,,HK_MAINBOARD
HK.01143,中国储能科技发展,4000,STOCK,N/A,,N/A,,N/A,N/A,2011-01-27,64424509441143,False,N/A,False,,HK_MAINBOARD
HK.01145,勇利投资,20000,STOCK,N/A,,N/A,,N/A,N/A,2011-06-24,65060164600953,False,N/A,False,,HK_MAINBOARD
HK.01146,汇成国际控股,2000,STOCK,N/A,,N/A,,N/A,N/A,2011-12-09,65781719106682,False,N/A,False,,HK_MAINBOARD
HK.01147,伊登软件,10000,STOCK,N/A,,N/A,,N/A,N/A,2020-05-13,78915729097851,False,N/A,False,,HK_MAINBOARD
HK.01148,新晨动力,1000,STOCK,N/A,,N/A,,N/A,N/A,2013-03-13,67757404062844,False,N/A,False,,HK_MAINBOARD
HK.01150,米兰站,10000,STOCK,N/A,,N/A,,N/A,N/A,2011-05-23,64922725647486,False,N/A,False,,HK_MAINBOARD
HK.01152,正乾金融控股,2000,STOCK,N/A,,N/A,,N/A,N/A,2011-10-28,65601330480256,False,N/A,False,,HK_MAINBOARD
HK.01153,佳源服务,1000,STOCK,N/A,,N/A,,N/A,N/A,2020-12-09,79852031968385,False,N/A,False,,HK_MAINBOARD
HK.01156,CHINANEWENERGY,4000,STOCK,N/A,,N/A,,N/A,N/A,2020-07-15,79207786873988,False,N/A,False,,HK_MAINBOARD
HK.01157,中联重科,200,STOCK,N/A,,N/A,,N/A,N/A,2010-12-23,64274185585797,False,N/A,False,,HK_MAINBOARD
HK.01159,智数科技集团,2000,STOCK,N/A,,N/A,,N/A,N/A,1998-03-13,44225278248071,False,N/A,False,,HK_MAINBOARD
HK.01160,金石资本集团,100000,STOCK,N/A,,N/A,,N/A,N/A,2004-04-02,53725745906824,False,N/A,False,,HK_MAINBOARD
HK.01161,奥思集团,2000,STOCK,N/A,,N/A,,N/A,N/A,2002-03-11,50491635532937,False,N/A,False,,HK_MAINBOARD
HK.01162,莹岚集团,8000,STOCK,N/A,,N/A,,N/A,N/A,2017-10-25,78889959294090,False,N/A,False,,HK_MAINBOARD
HK.01163,虎视传媒,2500,STOCK,N/A,,N/A,,N/A,N/A,2020-07-10,79203491906699,False,N/A,False,,HK_MAINBOARD
HK.01164,中广核矿业,5000,STOCK,N/A,,N/A,,N/A,N/A,2003-08-04,52686363821196,False,N/A,False,,HK_MAINBOARD
HK.01165,顺风清洁能源,2000,STOCK,N/A,,N/A,,N/A,N/A,2011-07-13,65141768979597,False,N/A,False,,HK_MAINBOARD
HK.01166,星凯控股,10000,STOCK,N/A,,N/A,,N/A,N/A,1996-12-12,42266773161102,False,N/A,False,,HK_MAINBOARD
HK.01167,加科思-B,300,STOCK,N/A,,N/A,,N/A,N/A,2020-12-21,79903571575951,False,N/A,False,,HK_MAINBOARD
HK.01168,Z FIN,1000,STOCK,N/A,,N/A,,N/A,N/A,1998-06-08,44598940402832,False,N/A,False,,HK_MAINBOARD
HK.01170,信星集团,2000,STOCK,N/A,,N/A,,N/A,N/A,1994-09-29,38809324487826,False,N/A,False,,HK_MAINBOARD
HK.01171,兖矿能源,2000,STOCK,N/A,,N/A,,N/A,N/A,1998-04-01,44306882626707,False,N/A,False,,HK_MAINBOARD
HK.01172,融太集团,20000,STOCK,N/A,,N/A,,N/A,N/A,1996-06-12,41480794145940,False,N/A,False,,HK_MAINBOARD
HK.01173,威高国际,20000,STOCK,N/A,,N/A,,N/A,N/A,1999-04-19,45951855101077,False,N/A,False,,HK_MAINBOARD
HK.01176,珠光控股,2000,STOCK,N/A,,N/A,,N/A,N/A,1996-12-09,42253888259224,False,N/A,False,,HK_MAINBOARD
HK.01177,中国生物制药,1000,STOCK,N/A,,N/A,,N/A,N/A,2003-12-08,53227529700505,False,N/A,False,,HK_MAINBOARD
HK.01179,华住集团-S,100,STOCK,N/A,,N/A,,N/A,N/A,2020-09-22,79521319486619,False,N/A,False,,HK_MAINBOARD
HK.01180,汇彩控股,4000,STOCK,N/A,,N/A,,N/A,N/A,1997-01-20,42434276885660,False,N/A,False,,HK_MAINBOARD
HK.01181,唐宫中国,2000,STOCK,N/A,,N/A,,N/A,N/A,2011-04-19,64776696759453,False,N/A,False,,HK_MAINBOARD
HK.01182,胜龙国际,5000,STOCK,N/A,,N/A,,N/A,N/A,1994-10-17,38886633899166,False,N/A,False,,HK_MAINBOARD
HK.01183,澳能建设,2000,STOCK,N/A,,N/A,,N/A,N/A,2018-02-13,75428215653535,False,N/A,False,,HK_MAINBOARD
HK.01184,S.A.S. DRAGON,2000,STOCK,N/A,,N/A,,N/A,N/A,1994-10-17,38886633899168,False,N/A,False,,HK_MAINBOARD
HK.01186,中国铁建,500,STOCK,N/A,,N/A,,N/A,N/A,2008-03-13,59914793780386,False,N/A,False,,HK_MAINBOARD
